image_id,tp,fp,fn,tn,precision,recall,accuracy
001534,17,4,33,28,0.81,0.34,0.549
001552,6,2,25,51,0.75,0.194,0.679
001560,14,5,22,27,0.737,0.389,0.603
001564,9,2,37,38,0.818,0.196,0.547
001570,6,0,9,49,1.0,0.4,0.859
001581,3,1,13,35,0.75,0.187,0.731
001593,10,7,43,35,0.588,0.189,0.474
001598,11,10,17,33,0.524,0.393,0.62
001621,0,2,4,24,0.0,0.0,0.8
001624,11,3,14,59,0.786,0.44,0.805
001631,3,1,16,86,0.75,0.158,0.84
001638,3,2,16,12,0.6,0.158,0.455
001653,1,0,18,33,1.0,0.053,0.654
001681,11,1,8,73,0.917,0.579,0.903
001683,3,3,20,56,0.5,0.13,0.72
001692,3,4,5,59,0.429,0.375,0.873
001700,6,6,17,41,0.5,0.261,0.671
001721,1,2,8,59,0.333,0.111,0.857
001725,9,0,0,85,1.0,1.0,1.0
001733,4,1,11,66,0.8,0.267,0.854
001758,1,0,5,36,1.0,0.167,0.881
001765,8,3,28,38,0.727,0.222,0.597
001766,1,0,0,14,1.0,1.0,1.0
001768,9,2,21,35,0.818,0.3,0.657
001772,5,4,11,48,0.556,0.312,0.779
001773,5,3,9,87,0.625,0.357,0.885
001774,9,6,31,55,0.6,0.225,0.634
001781,7,1,37,102,0.875,0.159,0.741
001784,6,3,12,31,0.667,0.333,0.712
001787,0,2,14,21,0.0,0.0,0.568
001794,14,2,23,14,0.875,0.378,0.528
001800,10,7,34,19,0.588,0.227,0.414
001804,4,0,4,57,1.0,0.5,0.938
001818,5,4,34,44,0.556,0.128,0.563
001819,3,3,13,78,0.5,0.187,0.835
001827,3,4,11,20,0.429,0.214,0.605
001839,10,3,9,60,0.769,0.526,0.854
001846,2,3,21,48,0.4,0.087,0.676
001847,17,1,17,26,0.944,0.5,0.705
001855,5,2,5,28,0.714,0.5,0.825
001858,2,0,6,43,1.0,0.25,0.882
001879,6,0,21,84,1.0,0.222,0.811
001884,6,2,9,46,0.75,0.4,0.825
